video_id,question_type,question,is_correct_base,predicted_idx_base,is_correct_other,predicted_idx_other,change
I3lGH_9Rieg_000001_000011,counterfactual_reason,Why?,False,2,True,1,improved
QhJ_Dw9qOIw_000000_000010,counterfactual_reason,Why?,False,1,True,3,improved
o-d_lNxe1Oc_000096_000106,descriptive,What is [person_1] doing?,False,4,True,0,improved
aJ1RpsnrN6o_000043_000053,counterfactual,What would happen if [chair_2] didn't open?,False,1,True,4,improved
gx1xxazr0Ho_000122_000132,descriptive,What is [person_1] holding?,False,2,True,0,improved
nO12iYRCmLY_000043_000053,descriptive,What is the [person_1] doing?,False,0,True,3,improved
m61tIShNZuA_000014_000024,descriptive,What color is the floor?,False,1,True,2,improved
L-FVSUDIGTE_000026_000036,predictive,What is [person_1] going to do?,False,1,True,4,improved
wsTvQkf0Ks4_000009_000019,descriptive,What's the color of the cloth of [person_1]?,False,1,True,2,improved
1ffk0zeFg9k_000029_000039,predictive,What will [person_2] do after roasting the marshmallows?,False,1,True,2,improved
fbxlzh3kK9g_000004_000014,predictive,What is [person_1] going to do?,False,3,True,4,improved
IyioB505hJU_000003_000013,predictive_reason,Why?,False,0,True,2,improved
4AufpbOUVZ0_000004_000014,explanatory,Why is [person_1] doing exercise?,False,3,True,4,improved
Zgbo6Ms074g_000003_000013,explanatory,Why is [person_2] smiling so happily?,False,3,True,1,improved
pdGBGTGRmko_000007_000017,predictive,What will [person_1] do?,False,0,True,1,improved
nC5VbWS2YjY_000038_000048,counterfactual,What will happen if it becomes dark.,False,4,True,1,improved
F2-R4tjXSKc_000000_000010,counterfactual_reason,Why?,False,2,True,1,improved
Ej51TIzhcDo_000031_000041,predictive_reason,Why?,False,1,True,0,improved
cno2kD23RmQ_000003_000013,counterfactual_reason,Why?,False,3,True,0,improved
n09E18aN1wU_000000_000010,descriptive,What is [person_1] doing ?,False,2,True,0,improved
znXPe8rdxF8_000096_000106,explanatory,Why is [person_2] smiling so happily?,False,2,True,4,improved
QcIZs-zyPkc_000023_000033,counterfactual,What will happen if [person_2] cries?,False,4,True,0,improved
BiUF1o-74mA_000004_000014,predictive,What is [person_1] going to do?,False,4,True,3,improved
BiUF1o-74mA_000004_000014,counterfactual,What will occur if the driller doesn't work?,False,0,True,2,improved
Hoa3HNVlFm4_000000_000010,counterfactual,What will happen if [person_1] drops a raspberry on the ground?,False,3,True,1,improved
Nf0zgVq7L2Y_000191_000201,explanatory,Why is [person_1] skating?,False,4,True,3,improved
TIEE6iGKp9Q_000000_000010,counterfactual,What will happen if [person_1] does not pay attention to [person_2]?,False,0,True,2,improved
dS-dGXbP-Wc_000009_000019,predictive_reason,Why?,False,1,True,0,improved
xEU5VwCnD48_000017_000027,descriptive,Where is [book_1]?,False,3,True,0,improved
CDWoZqvkuEo_000075_000085,explanatory,Why is [person_1] holding a basketball ?,False,1,True,3,improved
b1Oy9nAE6PQ_000036_000046,counterfactual_reason,Why?,False,4,True,0,improved
ic4w9GYzJ-Q_000000_000010,counterfactual,What will happen if it rains?,False,0,True,1,improved
NhwdWRZ5bek_000004_000014,counterfactual,What would happen if [chair_1] fell over suddenly?,False,1,True,4,improved
RYd8OzUMoAw_000256_000266,explanatory,Why is [person_1] inside?,False,3,True,1,improved
MboXzhaJVuA_000164_000174,counterfactual,What will occur if the bagpipe deters?,False,3,True,1,improved
k7PcZjkDGNI_000000_000010,descriptive,Where is [person_1]?,False,4,True,2,improved
kvsRUQs3a2w_000050_000060,explanatory,Why is [person_1] outside?,False,4,True,0,improved
B3-LASEzdAs_000002_000012,descriptive,Where are [person_1] and [person_2]?,False,1,True,0,improved
IdN4kH-AtB8_000000_000010,predictive_reason,Why?,False,0,True,3,improved
E9kNBA88sp4_000041_000051,predictive,What is the [person_1] going to do?,False,0,True,4,improved
E9kNBA88sp4_000041_000051,counterfactual,What will happen if the [person_1] keeps back straight?,False,4,True,0,improved
A8K8s8FWJLk_000109_000119,predictive,What will happen to [person_1] after [person_3] turns around?,False,3,True,2,improved
FEVmevQ_Q3Q_000005_000015,descriptive,Where is [person_1]?,False,4,True,0,improved
FEVmevQ_Q3Q_000005_000015,counterfactual_reason,Why?,False,1,True,0,improved
H4rmkQcZwoA_000093_000103,counterfactual_reason,Why?,False,3,True,0,improved
m9wfg0yia40_000034_000044,counterfactual,What would [person_1] did not shout at [person_2]?,False,2,True,1,improved
tPXM_eQbux8_000180_000190,descriptive,What is material of the wall behind [person_1] ?,False,2,True,4,improved
f729ObhhStI_000031_000041,counterfactual,What would happen if [person_1] didn't run away?,False,0,True,2,improved
jTQafnLf89w_000157_000167,predictive_reason,Why?,False,2,True,1,improved
7b0sYkelXiQ_000020_000030,predictive_reason,Why?,False,3,True,0,improved
uWnz6AUi6EM_000036_000046,counterfactual_reason,Why?,False,4,True,0,improved
4GnIGghORyA_000058_000068,counterfactual,What would happen if [person_1] weren't given the toy?,False,1,True,2,improved
fp8xB76kvCQ_000169_000179,explanatory,Why is [person_1] at the lobby ?,False,0,True,3,improved
BQkTVFO8-dU_000059_000069,descriptive,Where is [chair_1]?,False,0,True,4,improved
2xJU1xhMp7g_000064_000074,explanatory,Why is [person_1] holding a ball?,False,2,True,3,improved
Ebzx2N4LIbQ_000008_000018,explanatory,Why is [person_1] squatting there?,False,0,True,4,improved
YKzOHyuvDVA_000016_000026,predictive_reason,Why?,False,0,True,1,improved
SaYGiuoBraU_000000_000010,explanatory,Why did [person_1] land on her back?,False,3,True,0,improved
s4C4FgTQIVA_000004_000014,counterfactual_reason,Why?,False,2,True,0,improved
gf7QkXKOV_k_000009_000019,predictive,What is [person_1] going to do?,False,3,True,0,improved
V-Tifjv05j8_000087_000097,predictive_reason,Why?,False,1,True,0,improved
fKuRbNQbqRM_000005_000015,counterfactual,What if [person_1] didn't somersault into the pool?,False,2,True,0,improved
a4kIRg8YvWw_000000_000010,descriptive,What color of the [chair_1]?,False,0,True,4,improved
aCwlLVoSVSU_000014_000024,descriptive,"Where are [person_1] , [person_2] and [person_3]?",False,1,True,2,improved
kCKKj2P_xpQ_000004_000014,descriptive,What is the [person_1] doing?,False,3,True,1,improved
kCKKj2P_xpQ_000004_000014,predictive_reason,Why?,False,3,True,0,improved
kCKKj2P_xpQ_000004_000014,counterfactual_reason,Why?,False,4,True,3,improved
iujQLnWlrpY_000007_000017,counterfactual_reason,Why?,False,4,True,2,improved
dVmfFJMIWBE_000017_000027,counterfactual,What would happen if [person_2] couldn't tear the cover by hands?,False,2,True,1,improved
cvbyntK1jkI_000243_000253,descriptive,Who is the [person_8]?,False,4,True,0,improved
e2QwA8IvCo0_000542_000552,explanatory,Why does [person_4] bow?,False,1,True,3,improved
e2QwA8IvCo0_000542_000552,counterfactual,What if [person_1] put [person_1]'s hand close to the gift [person_4] is cutting?,False,0,True,3,improved
w3y73GdtCys_000008_000018,predictive_reason,Why?,False,4,True,2,improved
Lr_1ybYboQE_000011_000021,predictive_reason,Why?,False,0,True,1,improved
sAxeAQKHMPk_000001_000011,descriptive,Where is [person_1]?,False,3,True,1,improved
sAxeAQKHMPk_000001_000011,counterfactual,What will happen if [person_1] sprays the wrong color?,False,0,True,4,improved
wI_CdjePMyk_000009_000019,descriptive,What's against the wall?,False,0,True,4,improved
yV5UIDMmv7I_000145_000155,explanatory,Why is [person_2] inside?,False,1,True,2,improved
K7jnQiiT5a4_000001_000011,predictive_reason,Why?,False,2,True,3,improved
Asu1OVskR5g_000399_000409,counterfactual,What will happen if [person_1] stomps the grapes quickly?,False,1,True,0,improved
3OxZC5BZVcY_000047_000057,predictive,What is [person_1] going to do?,False,0,True,4,improved
2r5gavDlwBw_000001_000011,counterfactual_reason,Why?,False,1,True,2,improved
fgJ12auNWaU_000004_000014,descriptive,Where is the [bottle_1]?,False,3,True,0,improved
EfgdE-fHEi4_000000_000010,descriptive,Where is [person_1]?,False,3,True,0,improved
EfgdE-fHEi4_000000_000010,counterfactual,What will happen if [person_1] breaks the wood planer ?,False,4,True,2,improved
fwGTTMOUYUA_000022_000032,predictive,What is [person_2] going to do?,False,4,True,3,improved
fuCCjRyrd9U_000133_000143,descriptive,what is [person_1] doing?,False,3,True,0,improved
rRYnZXRYU74_000038_000048,counterfactual,What will happen if [person_1] stops playing flute ?,False,0,True,4,improved
lMTYZTmiNtE_000097_000107,descriptive,What is [person_1] holding?,False,2,True,3,improved
pfzWxhpFB_o_000003_000013,predictive,Where is [person_3]?,False,3,True,4,improved
pfzWxhpFB_o_000003_000013,counterfactual,What will happen if [person_2] is thirsty?,False,2,True,4,improved
HQ7f3bYzZ5k_000056_000066,counterfactual,What would happen if [person_1] ran out of spray paints?,False,0,True,4,improved
anrP4aDNHLc_000072_000082,explanatory,Why is [person_1] here?,False,4,True,2,improved
djvRrQ2b4-k_000090_000100,predictive,what will happen next?,False,2,True,4,improved
A1wk6yHKVtQ_000020_000030,counterfactual,What would happen if the room had a power outage?,False,2,True,4,improved
qrsQAwtX_n0_000093_000103,predictive,What is [person_1] going to do?,False,4,True,3,improved
k8ioFAJuHGU_000012_000022,counterfactual_reason,Why?,False,1,True,4,improved
QybCxtK-KaU_000004_000014,explanatory,Why is [person_1] in the room?,False,4,True,2,improved
QybCxtK-KaU_000004_000014,counterfactual,What will happen if [person_1] has unexpected work?,False,0,True,3,improved
sG3QaIqg0ys_000000_000010,counterfactual_reason,Why?,False,4,True,1,improved
CgHCdSnWmLU_000054_000064,counterfactual_reason,Why?,False,4,True,3,improved
MgV7fiP_-NA_000065_000075,explanatory,Why does [person_1] hold these two cymbals?,False,4,True,3,improved
m928rVwE-HE_000007_000017,predictive_reason,Why?,False,4,True,0,improved
LnF58UyKfhw_000006_000016,predictive,What is [person_1] going to do?,False,3,True,1,improved
7v55t-BjixU_000000_000010,counterfactual_reason,Why?,False,4,True,1,improved
Q9o61h69BJ4_000198_000208,predictive,What will [person_2] do after cleaning the eyebrow?,False,3,True,0,improved
wZ7dqJnpp-s_000080_000090,descriptive,What is on [person_1]'s hand?,False,0,True,3,improved
6FiTqb7E0qc_000023_000033,descriptive,What color is the shirt [person_2] wearing?,False,0,True,4,improved
OyZVu9InbuU_000058_000068,predictive,What will the [person_1] do there?,False,1,True,3,improved
OyZVu9InbuU_000058_000068,counterfactual_reason,Why?,False,3,True,1,improved
QqurWtgJGXI_000001_000011,counterfactual,What if [person_1] trains with weights not carefully?,False,4,True,2,improved
oDR8Cjlvd04_000000_000010,counterfactual,What would happen if the room lost power suddenly?,False,4,True,3,improved
b_7sjfVVCEg_000000_000010,explanatory,Why is [person_1] swinging the cup?,False,3,True,4,improved
b_7sjfVVCEg_000000_000010,predictive_reason,Why?,False,4,True,1,improved
b_7sjfVVCEg_000000_000010,counterfactual_reason,Why?,False,0,True,1,improved
cn81tJMWEOI_000037_000047,descriptive,Where is [vase_1]?,False,4,True,1,improved
UK6MCq2LiHk_000014_000024,descriptive,Where is [traffic light_1]?,False,2,True,0,improved
o3DnEvxB8ME_000290_000300,counterfactual_reason,Why?,False,0,True,2,improved
7TZOYU__Ta0_000053_000063,counterfactual_reason,Why?,False,1,True,4,improved
GfurY92Kgtw_000023_000033,descriptive,What is [person_1] looking at?,False,1,True,3,improved
R5FAUCX1uXw_000010_000020,descriptive,What is the [person_1] doing?,False,3,True,4,improved
R5FAUCX1uXw_000010_000020,counterfactual,What will happen if the [person_1] does not get broken legs?,False,2,True,0,improved
1ddqMoAiZNQ_000041_000051,explanatory,Why is [person_1] swinging the cup?,False,1,True,3,improved
