video_id,question_type,question,is_correct_base,predicted_idx_base,is_correct_other,predicted_idx_other,change
TFfbXC3HSaY_000019_000029,descriptive,What is [person_1] doing?,False,4,True,3,improved
hmIHImyvlsM_000131_000141,predictive,What is [person_1] going to do?,False,2,True,4,improved
hmIHImyvlsM_000131_000141,counterfactual,What will happen if a stranger appears?,False,3,True,1,improved
0s2mNI32vEo_000023_000033,descriptive,Where is [person_1]?,False,3,True,2,improved
eFg8f5es83U_000015_000025,descriptive,Where is [person_1]?,False,3,True,1,improved
wsTvQkf0Ks4_000009_000019,descriptive,What's the color of the cloth of [person_1]?,False,1,True,2,improved
uQ_NSCDjS1k_000746_000756,descriptive,What color is the shirt [person_1] wearing?,False,2,True,3,improved
NaFdJEo-_l8_000063_000073,predictive,What will the [person_1] do next?,False,4,True,1,improved
GCKH5DGXTec_000034_000044,counterfactual,what would happen if [person_1] broke the guitar strings?,False,1,True,3,improved
Zgbo6Ms074g_000003_000013,counterfactual,What will happen if the power is off ?,False,2,True,1,improved
c5Yxb7mW9MY_000000_000010,predictive,What will [person_2] do after watching the game?,False,3,True,0,improved
QW8Cab_QpGI_000022_000032,predictive,What is [person_1] going to do?,False,1,True,3,improved
l34TPPTSdu4_000025_000035,predictive,What will [person_1] do next?,False,0,True,2,improved
nC5VbWS2YjY_000038_000048,descriptive,Where are [person_1]?,False,2,True,4,improved
nC5VbWS2YjY_000038_000048,counterfactual,What will happen if it becomes dark.,False,4,True,1,improved
giQ6HlBEyXI_000019_000029,explanatory,Why does [person_1] moves up and down?,False,1,True,3,improved
F2-R4tjXSKc_000000_000010,predictive,What will happen with [person_1] next?,False,0,True,4,improved
cno2kD23RmQ_000003_000013,counterfactual,What if [person_2] doesn't like [person_2]'s gift?,False,0,True,2,improved
n09E18aN1wU_000000_000010,descriptive,What is [person_1] doing ?,False,2,True,0,improved
n09E18aN1wU_000000_000010,predictive,What is [person_3] going to do?,False,1,True,2,improved
yTHCOarnqN8_000140_000150,descriptive,Where is [person_1]?,False,3,True,2,improved
yTHCOarnqN8_000140_000150,predictive,What is [person_1] going to do?,False,3,True,2,improved
o0TUFW_jcD4_000003_000013,counterfactual,What if [person_1] has slippery hands?,False,3,True,0,improved
yip0BhuODRA_000000_000010,explanatory,Why is [person_1] outside?,False,1,True,3,improved
yip0BhuODRA_000000_000010,counterfactual,What will happen in the future if the ball hits [person_1]'s head?,False,2,True,0,improved
tNx1mJSHzZY_000027_000037,counterfactual,What will happen if [person_1] slipped in the bathtub?,False,2,True,1,improved
mcjztxjCKWg_000181_000191,descriptive,What color is the shirt [person_1] wearing?,False,3,True,0,improved
b1Oy9nAE6PQ_000036_000046,predictive,what is [person_2] going to do?,False,0,True,1,improved
HXzFBjsGBz4_000054_000064,explanatory,Why is [person_1] sitting there?,False,2,True,0,improved
J23yPQoaIcI_000133_000143,descriptive,What is [person_1] doing?,False,4,True,1,improved
J23yPQoaIcI_000133_000143,counterfactual,What will happen if [person_1] faints?,False,0,True,3,improved
Dkhp6VHgsbM_000035_000045,predictive,What does [person_1] want to do next?,False,0,True,2,improved
KercqLVjtDA_000067_000077,counterfactual,What would happen if [person_1] weren't there?,False,2,True,0,improved
MboXzhaJVuA_000164_000174,counterfactual,What will occur if the bagpipe deters?,False,3,True,1,improved
RM7NRwcFVLU_000033_000043,counterfactual,What will happen if the power is off?,False,3,True,4,improved
Vwm6YpMbZTU_000000_000010,counterfactual,What if [person_1] didn't wear the fire hydrant?,False,0,True,1,improved
H4rmkQcZwoA_000093_000103,explanatory,why is [book_1] behind [person_1]?,False,3,True,0,improved
tPXM_eQbux8_000180_000190,counterfactual,What will happen if someone comes near [person_1] ?,False,4,True,3,improved
jTQafnLf89w_000157_000167,predictive,What is [person_1] going to do?,False,3,True,0,improved
7b0sYkelXiQ_000020_000030,predictive,What is [person_1] going to do?,False,4,True,3,improved
7b0sYkelXiQ_000020_000030,counterfactual,What will happen if it rains?,False,2,True,0,improved
fp8xB76kvCQ_000169_000179,explanatory,Why is [person_1] at the lobby ?,False,0,True,3,improved
BQkTVFO8-dU_000059_000069,counterfactual,What would happen if the lute hit [person_1] head?,False,3,True,0,improved
dsxLyHf_H6o_000141_000151,counterfactual,What will happen if the book [person_1] wants to read is on high?,False,2,True,0,improved
5R-R7EusXVo_000070_000080,explanatory,Why is [person_1] pushing a wheelchair on the street?,False,2,True,1,improved
PxvR7LLrN5A_000016_000026,predictive,What will [person_2] do next?,False,3,True,0,improved
ucD1_ShFaLg_000035_000045,predictive,what will happen with [person_1] next?,False,4,True,0,improved
iujQLnWlrpY_000007_000017,descriptive,What is [person_1] doing?,False,1,True,4,improved
cvbyntK1jkI_000243_000253,predictive,What is the [person_1] going to do?,False,2,True,1,improved
8NAJGtltNLY_000307_000317,descriptive,Where is [person_1]?,False,4,True,0,improved
r1RnCITno1k_000106_000116,explanatory,Why is [person_2] moving his hands?,False,1,True,3,improved
r1RnCITno1k_000106_000116,counterfactual,What will happen if [person_2] is alone in the room?,False,0,True,2,improved
yV5UIDMmv7I_000145_000155,predictive,What is [person_2] going to do?,False,3,True,0,improved
hEaeKj6Z1d8_000104_000114,counterfactual,What will happen if [person_1] stacks cups slowly?,False,4,True,0,improved
Asu1OVskR5g_000399_000409,predictive,What is [person_3] going to do?,False,1,True,3,improved
NcL-BPuwSAs_000011_000021,counterfactual,What will happen if the electricity is cut off?,False,0,True,4,improved
k8ocgHIIoB4_000036_000046,explanatory,Why did the [person_1] pick the blueberries?,False,2,True,4,improved
fgJ12auNWaU_000004_000014,descriptive,Where is the [bottle_1]?,False,3,True,0,improved
EfgdE-fHEi4_000000_000010,counterfactual,What will happen if [person_1] breaks the wood planer ?,False,4,True,2,improved
fwGTTMOUYUA_000022_000032,predictive,What is [person_2] going to do?,False,4,True,3,improved
WPO6kv3IvsM_000022_000032,predictive,What is [person_1] going to do?,False,2,True,4,improved
negqEtTQOHQ_000049_000059,explanatory,Why is there a pine tree next to [person_2]?,False,0,True,2,improved
A1wk6yHKVtQ_000020_000030,predictive,What is [person_1] going to do?,False,2,True,0,improved
QybCxtK-KaU_000004_000014,counterfactual,What will happen if [person_1] has unexpected work?,False,0,True,3,improved
fr2mvi8EgXU_000028_000038,predictive,What is [person_2] going to do?,False,2,True,1,improved
PiWQLjWD8Zg_000046_000056,descriptive,Where are [person_1] and [person_2]?,False,3,True,2,improved
LnF58UyKfhw_000006_000016,descriptive,Where is [chair_1]?,False,2,True,4,improved
Q9o61h69BJ4_000198_000208,predictive,What will [person_2] do after cleaning the eyebrow?,False,3,True,0,improved
fZbx60ZcfUE_000011_000021,counterfactual,What would happen if [person_1] did not circling the apple,False,1,True,3,improved
wZ7dqJnpp-s_000080_000090,explanatory,Why [person_1] wants to take something from [person_2]?,False,2,True,4,improved
6FiTqb7E0qc_000023_000033,predictive,What is [person_3] going to do?,False,1,True,0,improved
jpaNMitIhWs_000023_000033,counterfactual,What will happen unless [person_1] swings the cup back and forth?,False,4,True,2,improved
eYRH0pZm1f8_000004_000014,descriptive,What's the hat's color on the snowman?,False,3,True,4,improved
eYRH0pZm1f8_000004_000014,predictive,What will [person_1] do?,False,3,True,2,improved
c-M1H0UcVTE_000180_000190,predictive,What will happen with [person_1] next?,False,2,True,3,improved
b_7sjfVVCEg_000000_000010,counterfactual,What will happen if [person_1] fails to get his dices in the cup?,False,0,True,4,improved
cn81tJMWEOI_000037_000047,counterfactual,What will happen if the power is off?,False,1,True,4,improved
GfurY92Kgtw_000023_000033,predictive,What is [person_1] going to do?,False,3,True,0,improved
sfJVrnws_Uc_000035_000045,counterfactual,What will happen if [person_1] pulled his sword out of his mouth?,False,2,True,4,improved
FSbYWKl1WOU_000037_000047,explanatory,Why did the [person_2] raise the right hand?,False,2,True,4,improved
bO4IqueGQ_I_000160_000170,predictive,What will [person_1] do next?,False,0,True,1,improved
ES7ZbDhaGQg_000049_000059,explanatory,Why is [person_2] sitting there?,False,3,True,2,improved
ma1_fC-Mgfs_000030_000040,descriptive,Where are they in?,False,3,True,0,improved
iTUNcPVRfNA_000043_000053,counterfactual,What if right in the biggest gift box were a gift?,False,4,True,2,improved
JSv0FRh_Js4_000033_000043,counterfactual,What will happen if the vase breaks?,False,2,True,0,improved
5C5svaZCHYo_000113_000123,counterfactual,What would happen if [person_2] were disappointed with the gift?,False,0,True,2,improved
Kd_xD_aIuVY_000000_000010,predictive,What does [person_1] tend to do?,False,1,True,0,improved
KtkDEsqwhE0_000003_000013,predictive,What is [person_2] going to do?,False,3,True,2,improved
KtkDEsqwhE0_000003_000013,counterfactual,What will happen if the present is fell ?,False,0,True,2,improved
1oA-vfOR6QM_000016_000026,descriptive,Who is [person_1]?,False,3,True,4,improved
PL7oMAWZa28_000006_000016,counterfactual,What would happen if [person_1] were there alone?,False,4,True,0,improved
ofWS1hK-kok_000012_000022,predictive,what is [person_1] going to do?,False,2,True,1,improved
9eirnD868Zs_000017_000027,counterfactual,What would happen if [cell phone_2] disappeared?,False,1,True,2,improved
g3G75AQgDac_000022_000032,descriptive,Where are [person_1] and [person_2]?,False,1,True,2,improved
rySwGneEIXc_000533_000543,counterfactual,What will happen if [person_5] falls down?,False,0,True,1,improved
ts3XtqXBGhg_000004_000014,counterfactual,What will happen if it’s rain?,False,0,True,3,improved
Kohj6DCyTZU_000075_000085,descriptive,Where is it?,False,2,True,0,improved
Kohj6DCyTZU_000075_000085,counterfactual,What will happen if [person_3] refuses the proposal?,False,3,True,0,improved
MbgN_iU0YF8_000006_000016,counterfactual,What would happen if there was a wild beast?,False,2,True,0,improved
TmR6vevWQQc_000001_000011,descriptive,What does [person_1] wear on the head?,False,4,True,1,improved
TmR6vevWQQc_000001_000011,predictive,What will [person_1] do next?,False,0,True,4,improved
hljfjFYNXM0_000000_000010,counterfactual,What will [person_1] and [person_2] do if it rains?,False,0,True,2,improved
s8no7VJp71E_000053_000063,counterfactual,What will happen if [person_1] is sleepy?,False,4,True,1,improved
o3CY3Fj5KSY_000071_000081,explanatory,Why does [person_2] lean to the left?,False,2,True,3,improved
Msa6p0kYvEE_000000_000010,descriptive,What is [person_1] holding in his hand?,False,2,True,1,improved
wjMNQBj1yUQ_000016_000026,counterfactual,What would happen if someone stole the maracas?,False,0,True,2,improved
pANVvPDtbKA_000000_000010,predictive,What will [person_1] do next?,False,3,True,0,improved
yiMhNgHVxJk_000027_000037,counterfactual,What will happen if [person_1]'s plane machine was borken down?,False,3,True,0,improved
0MmYALdmyW4_000020_000030,predictive,What will [person_1] do?,False,1,True,3,improved
Cp3WCVww7FU_000003_000013,counterfactual,What will happen if [person_1] don't know about the didgeridoo?,False,1,True,4,improved
fWAIDJ_7mS4_000148_000158,counterfactual,What if [person_1] stopped tapping?,False,2,True,4,improved
6th8vIZKKwA_000000_000010,descriptive,What is the color of the board which [person_1] is cutting?,False,1,True,3,improved
jU-4ocLu1mI_000051_000061,explanatory,Why is [person_1] in the room?,False,1,True,0,improved
9HO-sV5e7xo_000068_000078,predictive,What will [person_1] do next?,False,1,True,4,improved
9HO-sV5e7xo_000068_000078,counterfactual,What will happen if [person_1] is tired?,False,1,True,3,improved
5Cvfu-K0loc_000198_000208,descriptive,Where is [chair_1] ?,False,1,True,0,improved
5Cvfu-K0loc_000198_000208,predictive,What is [person_1] going to do?,False,2,True,0,improved
8vGbGJL0KLI_000442_000452,descriptive,What is [person_1] wearing?,False,2,True,3,improved
D5mKk1rpagc_000343_000353,counterfactual,What would happen if [person_2] walked on feet of [person_2]?,False,1,True,4,improved
I5I2SPM6VPk_000114_000124,explanatory,Why are there so many people there?,False,1,True,3,improved
l5NuMD3L8y4_000058_000068,explanatory,Why is the [person_1] smiling?,False,4,True,0,improved
MZxAIlDP344_000000_000010,explanatory,Why is [person_1] wearing the helmet?,False,2,True,0,improved
lzPpXUDX2xw_000012_000022,counterfactual,What will happen if it becomes dark?,False,1,True,4,improved
GGHG1b_zMwc_000010_000020,counterfactual,What will happen if [person_1] is tired?,False,2,True,0,improved
f0h_nR3BtU4_000000_000010,descriptive,What kind of tool does [person_1] use?,False,3,True,1,improved
PGY9BhVLzK4_000035_000045,explanatory,Why is [person_1] in the room?,False,3,True,4,improved
qN3SW2-P_uY_000002_000012,predictive,What will happen to [person_1] ?,False,4,True,0,improved
CSORHeeLbGM_000015_000025,counterfactual,What will happen if it rains?,False,3,True,0,improved
Jj7SGzEdLcU_000019_000029,counterfactual,What will happen if it rains?,False,0,True,3,improved
m2MFRQsaPsg_000004_000014,predictive,What will [person_2] do after pouring the water?,False,3,True,2,improved
npO1hMcZ3ZU_000086_000096,counterfactual,What would happen if [person_2] did not hold a pillow but a table?,False,2,True,3,improved
