video_id,question_type,question,is_correct_base,predicted_idx_base,is_correct_other,predicted_idx_other,change
QhJ_Dw9qOIw_000000_000010,counterfactual_reason,Why?,False,1,True,3,improved
o-d_lNxe1Oc_000096_000106,predictive_reason,Why?,False,3,True,0,improved
o-d_lNxe1Oc_000096_000106,counterfactual_reason,Why?,False,4,True,1,improved
91ryBAPG3oY_000000_000010,counterfactual_reason,Why?,False,0,True,2,improved
SE6fVFI2TWo_000014_000024,descriptive,What color is the wall in front of [person_1] ?,False,3,True,0,improved
SE6fVFI2TWo_000014_000024,counterfactual_reason,Why?,False,4,True,0,improved
6Ln8PL5A_DA_000009_000019,counterfactual_reason,Why?,False,1,True,3,improved
hmIHImyvlsM_000131_000141,predictive,What is [person_1] going to do?,False,2,True,4,improved
hmIHImyvlsM_000131_000141,predictive_reason,Why?,False,1,True,0,improved
RHO0rXLDZYU_000037_000047,predictive,What is the [person_2] going to do?,False,3,True,1,improved
iX1d4ti2BGY_000000_000010,counterfactual_reason,Why?,False,1,True,0,improved
_DcXBurCxB0_000101_000111,counterfactual,What will happen if there's another customer?,False,0,True,2,improved
0s2mNI32vEo_000023_000033,predictive_reason,Why?,False,0,True,4,improved
gx1xxazr0Ho_000122_000132,predictive,What will [person_1] do next?,False,1,True,0,improved
yaAOSEEWJSk_000011_000021,predictive,What will happen with [person_1] next?,False,2,True,4,improved
yaAOSEEWJSk_000011_000021,predictive_reason,Why?,False,1,True,2,improved
yaAOSEEWJSk_000011_000021,counterfactual_reason,Why?,False,2,True,1,improved
xUrK4VFLPTE_000007_000017,predictive,What is [person_1] going to do?,False,2,True,1,improved
wsTvQkf0Ks4_000009_000019,counterfactual_reason,Why?,False,1,True,4,improved
1ffk0zeFg9k_000029_000039,counterfactual,What would happen if the gas cooker can't be used?,False,1,True,4,improved
NaFdJEo-_l8_000063_000073,counterfactual_reason,Why?,False,1,True,2,improved
czAwq50QtJo_000004_000014,predictive,What is the woman in front of [person_1] going to do?,False,3,True,4,improved
fbxlzh3kK9g_000004_000014,descriptive,Where is [person_1] at?,False,3,True,2,improved
GCKH5DGXTec_000034_000044,explanatory,why is [person_1] sitting?,False,2,True,0,improved
TdFGn36GIv0_000013_000023,descriptive,Where is [book_1]?,False,2,True,0,improved
TdFGn36GIv0_000013_000023,predictive_reason,Why?,False,2,True,3,improved
z1TV-NUXpZE_000125_000135,predictive,What will [person_1] do?,False,4,True,0,improved
XSu5dteR2Ko_000013_000023,counterfactual_reason,Why?,False,1,True,3,improved
c5Yxb7mW9MY_000000_000010,descriptive,Where is [bowl_1]?,False,2,True,4,improved
ItIWB0Sxmzc_000002_000012,predictive,What does [person_1] going to do?,False,2,True,4,improved
x9D3OKeeTI4_000024_000034,counterfactual_reason,Why?,False,2,True,3,improved
88ZSxIF2nW0_000264_000274,explanatory,Why is [person_1] outside?,False,4,True,1,improved
3SqBKZllvSY_000001_000011,predictive_reason,Why?,False,4,True,3,improved
m5lEw6isWuA_000119_000129,counterfactual,What will happen if the power is out?,False,4,True,1,improved
F2-R4tjXSKc_000000_000010,explanatory,Why are [person_1] and [person_2] here?,False,0,True,4,improved
NiCYxgQamgE_000000_000010,predictive_reason,Why?,False,4,True,0,improved
2CGIslQ2oLU_000081_000091,explanatory,Why is [person_1] playing games?,False,0,True,1,improved
Iy8GDulRVuc_000066_000076,predictive_reason,Why?,False,4,True,2,improved
Ej51TIzhcDo_000031_000041,descriptive,How is the room?,False,0,True,3,improved
Ka2xwUFLH2Y_000027_000037,predictive,What is the [person_1] going to do ?,False,4,True,0,improved
Ka2xwUFLH2Y_000027_000037,predictive_reason,Why?,False,2,True,1,improved
cno2kD23RmQ_000003_000013,descriptive,What is [person_1] doing?,False,4,True,1,improved
kFaUPcnu1IM_000001_000011,predictive_reason,Why?,False,3,True,0,improved
yTHCOarnqN8_000140_000150,descriptive,Where is [person_1]?,False,3,True,2,improved
8a8lQMgi66w_000001_000011,predictive_reason,Why?,False,2,True,3,improved
o0TUFW_jcD4_000003_000013,predictive,What will [person_1] do?,False,2,True,4,improved
ywIEPhCJC6k_000137_000147,explanatory,Why is the [person_1] standing on the ladder?,False,2,True,0,improved
yip0BhuODRA_000000_000010,predictive,What is [person_1] going to do ?,False,1,True,3,improved
yip0BhuODRA_000000_000010,counterfactual_reason,Why?,False,0,True,4,improved
uaQE7D8Ahq8_000080_000090,counterfactual_reason,Why?,False,2,True,3,improved
Crk0n9XYzCw_000175_000185,counterfactual_reason,Why?,False,0,True,3,improved
drdyJ8dXBMs_000046_000056,predictive,What will [person_1] do?,False,0,True,1,improved
drdyJ8dXBMs_000046_000056,predictive_reason,Why?,False,1,True,4,improved
lj2n2p4TQ14_000046_000056,counterfactual,What would happen if the electricity was cut?,False,0,True,1,improved
WBUwgJkXlik_000030_000040,predictive_reason,Why?,False,3,True,0,improved
BiUF1o-74mA_000004_000014,descriptive,What is [person_1] doing?,False,2,True,1,improved
mcjztxjCKWg_000181_000191,explanatory,Why does [person_1] have a beard?,False,0,True,2,improved
mcjztxjCKWg_000181_000191,counterfactual,What will happen if the power is off?,False,1,True,2,improved
Hoa3HNVlFm4_000000_000010,explanatory,Why is [person_1] pulling a tree branch?,False,2,True,3,improved
lqDsEFcKW_Y_000040_000050,counterfactual_reason,Why?,False,3,True,1,improved
Nf0zgVq7L2Y_000191_000201,explanatory,Why is [person_1] skating?,False,4,True,3,improved
6Ze5oejZB84_000572_000582,descriptive,what is [person_1] doing?,False,2,True,1,improved
CDWoZqvkuEo_000075_000085,descriptive,Where are [person_1] and [person_2]?,False,4,True,0,improved
b1Oy9nAE6PQ_000036_000046,descriptive,what is [person_1] wearing?,False,1,True,4,improved
ic4w9GYzJ-Q_000000_000010,predictive_reason,Why?,False,4,True,1,improved
ic4w9GYzJ-Q_000000_000010,counterfactual,What will happen if it rains?,False,0,True,1,improved
gocX5Xmb9Qc_000083_000093,predictive_reason,Why?,False,4,True,2,improved
Cj8JOgrbfYA_000218_000228,counterfactual_reason,Why?,False,2,True,4,improved
HXzFBjsGBz4_000054_000064,counterfactual,What will happen if [person_1] cries?,False,1,True,0,improved
HXzFBjsGBz4_000054_000064,counterfactual_reason,Why?,False,0,True,3,improved
K6FJont-_tk_000000_000010,counterfactual,What will happen if [person_1] is too fat?,False,3,True,2,improved
TgoyIhljqoc_000171_000181,predictive_reason,Why?,False,3,True,4,improved
TgoyIhljqoc_000171_000181,counterfactual_reason,Why?,False,4,True,2,improved
kE3Vf-LbXwY_000010_000020,counterfactual,What will happen if the customer comes to buy all the orange juice of [person_1]?,False,1,True,3,improved
Dkhp6VHgsbM_000035_000045,predictive,What does [person_1] want to do next?,False,0,True,2,improved
KercqLVjtDA_000067_000077,descriptive,Where is [person_1]?,False,4,True,0,improved
KercqLVjtDA_000067_000077,counterfactual_reason,Why?,False,2,True,1,improved
1VBg21aaiKM_000070_000080,descriptive,Where is [person_1]?,False,4,True,1,improved
kvsRUQs3a2w_000050_000060,descriptive,What color is the shirt [person_1] wearing?,False,0,True,3,improved
js1eY10H25c_000004_000014,predictive,What will [person_1] do?,False,3,True,2,improved
sqXC3zfV3po_000007_000017,counterfactual,What will happen if the [dining table_1] isn't broken?,False,3,True,4,improved
_bPnNfcZSAo_000263_000273,descriptive,What is the [person_1] wearing?,False,4,True,0,improved
_bPnNfcZSAo_000263_000273,predictive_reason,Why?,False,4,True,2,improved
N55W4l_cRiU_000030_000040,counterfactual_reason,Why?,False,2,True,4,improved
FEVmevQ_Q3Q_000005_000015,explanatory,Why is [person_1] taking [cup_2]?,False,3,True,2,improved
FEVmevQ_Q3Q_000005_000015,counterfactual_reason,Why?,False,1,True,0,improved
brPQtpA2foU_000000_000010,counterfactual_reason,Why?,False,0,True,3,improved
H4rmkQcZwoA_000093_000103,counterfactual,what will happen if [person_1] doesn't feel fun?,False,4,True,3,improved
5hAePmvQXBc_000000_000010,counterfactual_reason,Why?,False,3,True,1,improved
2BwPsLNe70A_000004_000014,descriptive,Where are [person_1] and [person_2]?,False,4,True,2,improved
2BwPsLNe70A_000004_000014,counterfactual_reason,Why?,False,1,True,2,improved
7b0sYkelXiQ_000020_000030,predictive_reason,Why?,False,3,True,0,improved
7b0sYkelXiQ_000020_000030,counterfactual,What will happen if it rains?,False,2,True,0,improved
uWnz6AUi6EM_000036_000046,counterfactual_reason,Why?,False,4,True,0,improved
Y3MsYVuIsi8_000020_000030,predictive,What will the [person_1] do during the trip?,False,4,True,3,improved
BQkTVFO8-dU_000059_000069,explanatory,Why is [person_1] in the room?,False,4,True,3,improved
BQkTVFO8-dU_000059_000069,counterfactual_reason,Why?,False,4,True,3,improved
dsxLyHf_H6o_000141_000151,counterfactual,What will happen if the book [person_1] wants to read is on high?,False,2,True,0,improved
2xJU1xhMp7g_000064_000074,counterfactual_reason,Why?,False,0,True,1,improved
8P8LtTKLd5w_000077_000087,explanatory,Why is [person_1] wearing a t - shirt?,False,4,True,2,improved
YKzOHyuvDVA_000016_000026,predictive_reason,Why?,False,0,True,1,improved
sHYxO1QsBwY_000150_000160,predictive_reason,Why?,False,0,True,2,improved
pyTsLOeUv0o_000012_000022,descriptive,How is the room?,False,0,True,1,improved
5R-R7EusXVo_000070_000080,explanatory,Why is [person_1] pushing a wheelchair on the street?,False,2,True,1,improved
XENSoFCZN6I_000000_000010,descriptive,Where is [person_1]?,False,2,True,0,improved
fKuRbNQbqRM_000005_000015,counterfactual,What if [person_1] didn't somersault into the pool?,False,2,True,0,improved
X_CMX4ShUtk_000000_000010,counterfactual_reason,Why?,False,0,True,3,improved
PxvR7LLrN5A_000016_000026,counterfactual_reason,Why?,False,1,True,0,improved
9TOQGSWa40M_000134_000144,predictive_reason,Why?,False,0,True,2,improved
EiXWH6DqvlY_000015_000025,descriptive,Where is [person_1] standing ?,False,0,True,1,improved
a4kIRg8YvWw_000000_000010,predictive,What is [person_1] going to do?,False,1,True,4,improved
a4kIRg8YvWw_000000_000010,predictive_reason,Why?,False,0,True,1,improved
a4kIRg8YvWw_000000_000010,counterfactual,What will happen if [person_1] falls?,False,0,True,4,improved
aCwlLVoSVSU_000014_000024,explanatory,Why are [person_1] and [person_2] sitting there?,False,3,True,0,improved
J8pZuRMuR5Q_000007_000017,counterfactual,What will happen if [person_1] had a headache?,False,4,True,2,improved
iujQLnWlrpY_000007_000017,counterfactual_reason,Why?,False,4,True,2,improved
dVmfFJMIWBE_000017_000027,counterfactual,What would happen if [person_2] couldn't tear the cover by hands?,False,2,True,1,improved
cvbyntK1jkI_000243_000253,predictive_reason,Why?,False,3,True,2,improved
dUKbPsPA4bY_000145_000155,counterfactual,What would happen if there was no hammer?,False,3,True,1,improved
e2QwA8IvCo0_000542_000552,explanatory,Why does [person_4] bow?,False,1,True,3,improved
sAxeAQKHMPk_000001_000011,counterfactual,What will happen if [person_1] sprays the wrong color?,False,0,True,4,improved
XfJN7yz8r40_000000_000010,descriptive,What color is [person_2]'s shirt?,False,3,True,2,improved
XfJN7yz8r40_000000_000010,counterfactual,What will happen if [person_1] slaps in the [keyboard_1]?,False,1,True,4,improved
r1RnCITno1k_000106_000116,explanatory,Why is [person_2] moving his hands?,False,1,True,3,improved
K5UVa5rrT-w_000006_000016,predictive,What does [person_1] going to do?,False,1,True,4,improved
K5UVa5rrT-w_000006_000016,counterfactual_reason,Why?,False,3,True,2,improved
wI_CdjePMyk_000009_000019,descriptive,What's against the wall?,False,0,True,4,improved
HBsWjigoHGw_000016_000026,predictive_reason,Why?,False,3,True,0,improved
1K5_3MznqGY_000000_000010,counterfactual_reason,Why?,False,0,True,1,improved
hEaeKj6Z1d8_000104_000114,counterfactual_reason,Why?,False,1,True,4,improved
Y32Kh4C1BsQ_000000_000010,counterfactual_reason,Why?,False,1,True,2,improved
2r5gavDlwBw_000001_000011,predictive,What is [person_1] going to do?,False,2,True,4,improved
2r5gavDlwBw_000001_000011,counterfactual,What will happen if [person_1] misses the beat?,False,0,True,4,improved
fgJ12auNWaU_000004_000014,counterfactual_reason,Why?,False,3,True,4,improved
wv-6Gf5EZ_Y_000138_000148,predictive,What are [person_1] and [person_2] going to do?,False,3,True,2,improved
wv-6Gf5EZ_Y_000138_000148,predictive_reason,Why?,False,1,True,2,improved
EfgdE-fHEi4_000000_000010,counterfactual,What will happen if [person_1] breaks the wood planer ?,False,4,True,2,improved
WPO6kv3IvsM_000022_000032,predictive,What is [person_1] going to do?,False,2,True,4,improved
WPO6kv3IvsM_000022_000032,counterfactual_reason,Why?,False,4,True,0,improved
C7U3aPpccns_000000_000010,predictive_reason,Why?,False,3,True,0,improved
pfzWxhpFB_o_000003_000013,explanatory,Why is [person_2] shaking her head?,False,3,True,0,improved
pfzWxhpFB_o_000003_000013,counterfactual,What will happen if [person_2] is thirsty?,False,2,True,4,improved
HQ7f3bYzZ5k_000056_000066,counterfactual,What would happen if [person_1] ran out of spray paints?,False,0,True,4,improved
Ljyd7jUhtOc_000063_000073,counterfactual_reason,Why?,False,3,True,4,improved
anrP4aDNHLc_000072_000082,counterfactual_reason,Why?,False,1,True,4,improved
1GQy47jfZio_000036_000046,predictive_reason,Why?,False,4,True,0,improved
negqEtTQOHQ_000049_000059,predictive,What is [person_2] gong to do?,False,0,True,1,improved
djvRrQ2b4-k_000090_000100,predictive_reason,Why?,False,4,True,2,improved
E3ZFXyQGW1s_000325_000335,predictive_reason,Why?,False,3,True,0,improved
E3ZFXyQGW1s_000325_000335,counterfactual,what would happen if [person_1] really did not like the gift they got for Christmas?,False,2,True,0,improved
vgrr-N5x7kE_000035_000045,descriptive,Where is the [microwave_1]?,False,2,True,1,improved
sG3QaIqg0ys_000000_000010,descriptive,What is [person_1] doing?,False,2,True,4,improved
8VTDVuPEek0_000131_000141,counterfactual_reason,Why?,False,2,True,1,improved
fr2mvi8EgXU_000028_000038,descriptive,Where is [person_1]?,False,1,True,0,improved
fr2mvi8EgXU_000028_000038,counterfactual,What would happen if there were not a razor?,False,0,True,2,improved
-pt95U6MoLA_000000_000010,counterfactual_reason,Why?,False,3,True,0,improved
fZbx60ZcfUE_000011_000021,explanatory,Why is [person_1] rolling the apple?,False,2,True,4,improved
fZbx60ZcfUE_000011_000021,predictive,What is [person_1] going to do?,False,1,True,3,improved
fZbx60ZcfUE_000011_000021,predictive_reason,Why?,False,4,True,2,improved
wZ7dqJnpp-s_000080_000090,explanatory,Why [person_1] wants to take something from [person_2]?,False,2,True,4,improved
_VWizlwdCUQ_000029_000039,descriptive,What color is [chair_1]?,False,4,True,2,improved
_VWizlwdCUQ_000029_000039,explanatory,Why does [person_1] sit on [chair_1].,False,3,True,1,improved
_VWizlwdCUQ_000029_000039,predictive_reason,Why?,False,1,True,4,improved
jpaNMitIhWs_000023_000033,counterfactual_reason,Why?,False,2,True,4,improved
