video_id,question_type,question,a0,a1,a2,a3,a4,correct_idx,predicted_idx,is_correct,confidence,prob_a0,prob_a1,prob_a2,prob_a3,prob_a4,correct_answer,predicted_answer
QhJ_Dw9qOIw_000000_000010,counterfactual_reason,Why?,[person_1] steps out of the line.,The dish is hard to broken and it is slippy.,There is a TV behind him.,The dish is easy to broken and it is slippy.,[person_1] can be distracted from washing dishes by looking in the cameraman's direction then breaking the plate.,3,3,True,0.2,0.2,0.2,0.2,0.2,0.2,The dish is easy to broken and it is slippy.,The dish is easy to broken and it is slippy.
o-d_lNxe1Oc_000096_000106,predictive_reason,Why?,Because the [person_1]'s hands are constantly moving.,[person_1] is still crawling forward.,This can help [person_1] remember the action.,[person_1] wants another kind of leaves.,[person_1] needs to clean the window below him.,0,0,True,0.2,0.2,0.2,0.2,0.2,0.2,Because the [person_1]'s hands are constantly moving.,Because the [person_1]'s hands are constantly moving.
o-d_lNxe1Oc_000096_000106,counterfactual,What will happen if [person_1] doesn't teach [person_2] the fire dance?,[person_1] will lose.,They would become nervous.,[person_2] won't know how to dance fire.,[person_1] can not hit the ball into the goal.,[person_1] would have to stop.,2,2,True,0.2,0.2,0.2,0.2,0.2,0.2,[person_2] won't know how to dance fire.,[person_2] won't know how to dance fire.
o-d_lNxe1Oc_000096_000106,counterfactual_reason,Why?,The shape of the cake is very difficult to make with just one look.,"Because fire dance is a difficult art , it takes a teacher to be able to do it.",Someone will steal the cows.,The inappropriate costume will influence the whole play and audience's mood.,Diving too long is dangerous.,1,1,True,0.2,0.2,0.2,0.2,0.2,0.2,"Because fire dance is a difficult art , it takes a teacher to be able to do it.","Because fire dance is a difficult art , it takes a teacher to be able to do it."
TFfbXC3HSaY_000019_000029,explanatory,How does the bottle be opened?,There are so many performers.,To protect herself from the sun.,[person_1] puts much strength on the cup and screws it.,They want to have fun during the trip.,Because the competition doesn't start.,2,2,True,0.2,0.2,0.2,0.2,0.2,0.2,[person_1] puts much strength on the cup and screws it.,[person_1] puts much strength on the cup and screws it.
91ryBAPG3oY_000000_000010,counterfactual,What would happen if [person_1] didn't show the action to [person_2]?,The score of [person_1] will be tripled.,[person_1] can be injured seriously.,It is probable that [person_2] will have many customers.,[person_1] will tell [person_2] that she doesn't feel comfortable.,[person_2] would feel bored,4,4,True,0.2,0.2,0.2,0.2,0.2,0.2,[person_2] would feel bored,[person_2] would feel bored
91ryBAPG3oY_000000_000010,counterfactual_reason,Why?,[person_1] keeps [person_2] busy.,Because they're on the same team.,The potted plant is easy to fall.,Because they're teammates.,To ease the pain.,2,2,True,0.2,0.2,0.2,0.2,0.2,0.2,The potted plant is easy to fall.,The potted plant is easy to fall.
SE6fVFI2TWo_000014_000024,descriptive,What color is the wall in front of [person_1] ?,They are blue and red.,[person_1] uses his elbow.,It's orange.,It is all white.,The fire extinguisher is red.,0,0,True,0.2,0.2,0.2,0.2,0.2,0.2,They are blue and red.,They are blue and red.
SE6fVFI2TWo_000014_000024,counterfactual_reason,Why?,The piano will not work.,"The fan will be off , too.",[person_1] is a kid.,[person_1] is a kid.,The sport hall will be dark.,0,0,True,0.2,0.2,0.2,0.2,0.2,0.2,The piano will not work.,The piano will not work.
6Ln8PL5A_DA_000009_000019,counterfactual_reason,Why?,[person_1] and [person_1] are partners.,"Because if [person_1] do somersaults on a hard surface , [person_1] will get hurt.",[person_1] wants to comfort the horse.,Because [person_1] can't stand on his own yet so [person_1] might fall.,The [person_1] is standing near the head of the [person_1].,3,3,True,0.2,0.2,0.2,0.2,0.2,0.2,Because [person_1] can't stand on his own yet so [person_1] might fall.,Because [person_1] can't stand on his own yet so [person_1] might fall.
